name,category,what_you_learn,skills,content
IBM COBOL Basics,Computer Science,,"Computational Logic, Programming Principles, Stored Procedure, Mainframe Computing, Editing, Debugging, COBOL (Programming Language), File Management, Data Structures, Program Development","COBOL is a programming language that serves a wide range of businesses. Key aspects of COBOL are that it is scalable, mature, and self-documenting.In the Basics course you will learn about COBOL from its birth and through its evolution. You will have some basic lessons on handling numbers, symbols, editing, procedures, and the overall program structure. You'll even have the opportunity to create code of your own. 

Buckle up and join us on a ride through the world of COBOL, we can't wait to see you in class."
Low Intermediate English: Technology,Language Learning,"Talk about devices, apps, and other technology that you use in your everyday life.
Talk about devices, apps, and other technology that you use in your everyday life.
Describe new features and innovations in technology.
Describe new features and innovations in technology.
Give advice for healthy and productive ways to use technology for work.
Give advice for healthy and productive ways to use technology for work.
Ask for help with tech problems at work.
Ask for help with tech problems at work.","Grammar, Vocabulary, Technology Solutions, Language Learning, Education Software and Technology, Health Technology, Data Security, Emerging Technologies, Technical Communication, End User Training and Support, English Language, Oral Comprehension, Telecommuting","Living in the digital age means not only having a lot of technology, but talking about it a lot too. In this course, we’re going to focus on the technology and devices that we use in our daily lives. Learning activities in this course will take place on Voxy, an engaging language learning platform that automatically adapts to your current level and your performance across reading, listening, speaking, grammar, and vocabulary skills so that every lesson is optimized for rapid improvement.Each week is made up of engaging, short, task-based lessons that can be done anywhere, anytime. Lessons include content from the real world, so you will learn from real conversations and emails between friends and colleagues exchanging information and assistance. By the end of the course, you should feel pretty comfortable discussing technology with friends and colleagues alike!"
Studying at Japanese Universities,Personal Development,"Japanese university application, enrollment processes, and the different types of programs offered
Japanese university application, enrollment processes, and the different types of programs offered
Useful information and advice to start you on the path to studying in Japan
Useful information and advice to start you on the path to studying in Japan","Cultural Sensitivity, Language Learning, Cultural Diversity, Research, Intercultural Competence, Higher Education","Are you interested in studying at Japanese universities? Do you want to learn about Japan’s university application and enrollment processes, as well as the types of programs on offer?This course will help you to both discover great programs offered by different Japanese universities and prepare a study plan through project-based learning. 

We introduce a number of options to match a variety of goals, from full degree to non-degree programs, programs taught in English, as well as short-term programs in Japan. During the course, international students at UTokyo will provide you with useful information and advice to start you on the path to studying in Japan.

At the end of this course, you will produce a draft of your action plan for applying to Japanese universities. The overall goal of the course is to start you off on the right foot to a happy, productive and fulfilling student life in Japan!"
Introduction to Generative AI for Developers With Copilot,Computer Science,,"Software Development Tools, Code Review, Microsoft Copilot, Generative AI, Responsible AI, Artificial Intelligence, Data Ethics, Software Documentation, Prompt Engineering","This course introduces developers to generative AI technologies, focusing on their practical applications in software development. You will explore the core concepts of generative AI and understand the basic functionalities and ethical considerations of generative AI. The course is structured to provide a comprehensive overview, starting with the fundamentals of generative AI and progressing to its practical uses in code review, documentation, and project planning. Through engaging modules, you will gain a solid foundation in navigating the risks and responsibilities associated with AI. Hands-on activities and quizzes will reinforce the knowledge gained, ensuring that you are well-equipped to harness the potential of generative AI in your development workflows.Required Course Materials: A Copilot license is required to complete this course. If you don’t have a Microsoft 365 Personal or Family license, you can start a free 30-day trial using the link provided in the course."
EU policy and implementation: making Europe work!,Social Sciences,,"Policy Analysis, Public Policies, Program Evaluation, Governance, Environmental Policy, Research Methodologies, Economics, Policy, and Social Studies, Immigration Law, Policy Development","People have become more critical of EU policy and often seem to prefer local policy solutions in response to globalisation problems. How do you experience EU policy? Does it help? And if not, how can we change this? In this course, we learn how the European Union prepares and decides on policy, and how policy is transferred to member states and implemented by various authorities, including regional and local governments.  We discuss the challenges of the European multi-level governance structure. We also focus on the main causes of policy failure or success.  On this journey, we focus on actual policy and present the views of various experts: how easy is it to establish yourself in another EU-country? How do governments make sure that the air you breathe is clean? And who is responsible?You will be able to do research together in your own local setting. Research on implementation in which you can make comparisons between different countries or areas. If you live outside the EU, this is not a problem. We have developed assignments in such a way that you can do research in your area and compare your findings with others. 

This MOOC has been rated as one of the best MOOCs of 2017 and is currently in the Top 50 MOOCs of All Time of Class Central

So, are you curious? Please join: 'EU policy and implementation: making Europe work'. Watch our trailer video at https://www.youtube.com/watch?v=n3nSN9R3VR4"
Music Composition: Starting a Piece,Arts And Humanities,"Develop strategies for starting a new piece
Develop strategies for starting a new piece
Compose short pieces
Compose short pieces
Reflect upon your current working methods and explore new ways to expand your practice
Reflect upon your current working methods and explore new ways to expand your practice","Instrumental Music, Music, Creativity, Musical Composition, Classical Music, Music Theory","This course shares insights into the process of composing music, all with the aim of developing your skills and confidence as a composer. You might be a musician looking to take your composition skills to the next level, or you might be a teacher in a secondary school searching for new techniques to share with your own students.You might already have a developed working knowledge of tonality, in which case, we will  complement that knowledge by introducing alternative scales and chord structures. We’ll be focussing on everything involved in writing for live acoustic instruments, using some form of notation. We’ll look at ways to push the boundaries of traditional notation, as well as introducing alternative approaches, such as graphic notation and indeterminacy.  We’ll explore ways to maximise the effects you can create using instruments as well as to expand your rhythmic palette. A feature of the course will be to introduce the concept of gesture as a key tool in your working method. It also presents ways to tap into your imagination as part of your process which has the potential to transform the way that you compose. 

Musical examples are brought to life in this course in performances by Scotland’s foremost contemporary music ensemble, Red Note Ensemble."
Decentralized Finance (DeFi) Infrastructure,Business,"Articulate the history and origins of decentralized finance
Articulate the history and origins of decentralized finance
Define the key components of decentralized finance's infrastructure
Define the key components of decentralized finance's infrastructure
Explain which problems decentralized finance is designed to solve and how
Explain which problems decentralized finance is designed to solve and how
Identify myths or common misconceptions about decentralized finance
Identify myths or common misconceptions about decentralized finance","Blockchain, Financial Regulation, Financial Inclusion, Financial Systems, Governance, Digital Assets, Cryptography, Computer Security, Banking, Interoperability, Encryption, Payment Systems, FinTech","Decentralized Finance: The Future of Finance is a set of four courses taught by Campbell R. Harvey (Professor of Finance at the Fuqua School of Business, Duke University, and a Research Associate of the National Bureau of Economic Research) that focus on decentralized finance (DeFi). In this first course, we begin by exploring the origins of DeFi and take a broad historical view from the earliest barter economies, such as the first peer-to-peer exchanges of bartering, to present day. The course also looks at historical examples of money having value even though it is not officially backed.We then focus on the key infrastructure components: blockchain, cryptocurrency, smart contracts, oracles, stablecoins and decentralized applications (or dApps). This includes discussion of the mechanics of the Ethereum and Bitcoin blockchains including cryptographic hashing.  

Next, we focus on the specific problems that DeFi is designed to solve: inefficiency (costly, slow, and insecure today), limited access (1.7 billion are unbanked), opacity (we need to trust regulators to monitor banks and the regulators have mixed records), centralized control (financial system is oligopolistic imposing higher fees than we would have in a competitive market) and lack of interoperability (it is difficult to move funds from one financial institution to another today). The course closes by exploring many of the myths about the crypto space."
Social Psychology of Attraction and Relationships,Personal Development,"Describe foundational concepts in how psychology understands relationships. Identify how each of the four determinants of initial attraction works.
Describe foundational concepts in how psychology understands relationships. Identify how each of the four determinants of initial attraction works.
Explain how we form impressions of other people, the nature of love, and the processes involved in terminating relationships.
Explain how we form impressions of other people, the nature of love, and the processes involved in terminating relationships.
Use different models of relationships to predict whether a relationship will be satisfying or not, and whether it will last.
Use different models of relationships to predict whether a relationship will be satisfying or not, and whether it will last.","Cultural Diversity, Relationship Building, Human Relations Movement, Interpersonal Communications, Psychology, Research, Relationship Management, Behavioral Management","This course provides information about attraction and relationships, broadly defined.  Topics in the course include how people learn about each other, the mechanisms that underlying the initial decisions on whether we like people or not, and psychological models of relationship satisfaction.  The course also differentiates types of love and describes the decision process when people leave relationships.  Within each of these topics, people are encouraged to apply the concepts to their own relationships."
Introduction to Self-Driving Cars,Computer Science,"Understand commonly used hardware used for self-driving cars
Understand commonly used hardware used for self-driving cars
Identify the main components of the self-driving software stack
Identify the main components of the self-driving software stack
Program vehicle modelling and control
Program vehicle modelling and control
Analyze the safety frameworks and current industry practices for vehicle development
Analyze the safety frameworks and current industry practices for vehicle development","Computer Hardware, Mechanics, Systems Architecture, Automation, Simulation and Simulation Software, Hardware Architecture, Safety Assurance, Mathematical Modeling, Software Architecture, Control Systems","Welcome to Introduction to Self-Driving Cars, the first course in University of Toronto’s Self-Driving Cars Specialization.This course will introduce you to the terminology, design considerations and safety assessment of self-driving cars.  By the end of this course, you will be able to: 
- Understand commonly used hardware used for self-driving cars
- Identify the main components of the self-driving software stack
- Program vehicle modelling and control  
- Analyze the safety frameworks and current industry practices for vehicle development

For the final project in this course, you will develop control code to navigate a self-driving car around a racetrack in the CARLA simulation environment. You will construct longitudinal and lateral dynamic models for a vehicle and create controllers that regulate speed and path tracking performance using Python. You’ll test the limits of your control design and learn the challenges inherent in driving at the limit of vehicle performance.

This is an advanced course, intended for learners with a background in mechanical engineering, computer and electrical engineering, or robotics. To succeed in this course, you should have programming experience in Python 3.0, familiarity with Linear Algebra (matrices, vectors, matrix multiplication, rank, Eigenvalues and vectors and inverses), Statistics (Gaussian probability distributions), Calculus and Physics (forces, moments, inertia, Newton's Laws).

You will also need certain hardware and software specifications in order to effectively run the CARLA simulator: Windows 7 64-bit (or later) or Ubuntu 16.04 (or later), Quad-core Intel or AMD processor (2.5 GHz or faster), NVIDIA GeForce 470 GTX or AMD Radeon 6870 HD series card or higher, 8 GB RAM, and OpenGL 3 or greater (for Linux computers)."
Linear Algebra: Orthogonality and Diagonalization,Data Science,,"Applied Mathematics, Geometry, Linear Algebra, Numerical Analysis, Mathematical Modeling, Artificial Intelligence and Machine Learning (AI/ML)","This is the third and final course in the Linear Algebra Specialization that focuses on the theory and computations that arise from working with orthogonal vectors. This includes the study of orthogonal transformation, orthogonal bases, and orthogonal transformations. The course culminates in the theory of symmetric matrices, linking the algebraic properties with their corresponding geometric equivalences. These matrices arise more often in applications than any other class of matrices.The theory, skills and techniques learned in this course have applications to AI and machine learning. In these popular fields, often the driving engine behind the systems that are interpreting, training, and using external data is exactly the matrix analysis arising from the content in this course. 

Successful completion of this specialization will prepare students to take advanced courses in data science, AI, and mathematics."
Introduction to Hardware and Operating Systems,Information Technology,"Identify the hardware components of desktops, laptops, and other devices, plus operating system functions, settings, and troubleshooting processes
Identify the hardware components of desktops, laptops, and other devices, plus operating system functions, settings, and troubleshooting processes
Explore ports, connectors, storage devices, and GPU architectures, and assess appropriate processing and hardware solutions for applications
Explore ports, connectors, storage devices, and GPU architectures, and assess appropriate processing and hardware solutions for applications
Develop secure IoT integration strategies for wearable devices and smart tech, using effective device management and cybersecurity principles.
Develop secure IoT integration strategies for wearable devices and smart tech, using effective device management and cybersecurity principles.
Evaluate VR and AR technologies for organizational use, assessing hardware requirements, deployment considerations, and practical applications.
Evaluate VR and AR technologies for organizational use, assessing hardware requirements, deployment considerations, and practical applications.","Disaster Recovery, Linux, User Accounts, System Configuration, Hardware Troubleshooting, Mac OS, Operating Systems, Software Installation, USB, File Systems, Computer Hardware, Computing Platforms, Computer Architecture, Computer Systems, Technical Support, Network Infrastructure, Data Storage, Virtualization and Virtual Machines, Peripheral Devices, Virtual Machines","Ready to dive into the world of hardware and operating systems? This beginner-friendly course builds essential entry-level skills needed for roles in IT support, networking, cybersecurity, and software development.During this course, you’ll explore core computing concepts and the four functions of computing. You’ll then dive into internal hardware such as CPUs, motherboards, GPUs, memory, interfaces, ports, and peripherals. Plus, you’ll look at how modern technologies such as virtualization (including host/guest OS and hypervisors), parallel-processing GPUs, IoT devices, and VR/AR systems are transforming today’s IT environments. 

You’ll get hands-on with operating systems, including Windows, macOS, Linux, and mobile platforms, and practice workstation setup, configuration, acquisition, and troubleshooting just like an IT professional. Plus, you’ll look at specialized devices like wearables and e-readers to gain practical technology insights.  

Throughout, interactive labs help reinforce your learning. Then, in a final project, you’ll apply your new skills in real-world scenarios. 
 
This course is also part of the series to help you prepare for CompTIA Tech+ and A+ certification exams."
Introduction to Operations Management,Business,"You will learn to analyze processes, optimize flow, and manage variability, driving improvements and achieving excellence in operations management.
You will learn to analyze processes, optimize flow, and manage variability, driving improvements and achieving excellence in operations management.","Operational Efficiency, Process Analysis, Continuous Improvement Process, Supply Chain Management, Inventory Management System, Operations Management, Process Improvement, Statistical Process Controls, Lean Methodologies, Process Management, Workflow Management, Capacity Planning, Quality Management, Root Cause Analysis, Process Flow Diagrams","This comprehensive course delves into operations management and process improvement principles and techniques, providing you with the knowledge and skills necessary to identify and eliminate inefficiencies in your organization. You will gain a solid foundation in operations management by analyzing key concepts such as cost-quality trade-offs, the efficiency frontier, and system inhibitors.Get ready to delve into process analysis, where you'll identify and analyze steps in a process, implementing changes for enhanced outcomes. With practical exercises, including creating process flow diagrams and capacity calculations, you'll strengthen your analytical skills firsthand.

Experience the power of optimizing flow within operations as you uncover waste sources and design efficient processes for maximum output, reduced costs, and heightened customer satisfaction. An in-depth exploration of Little's Law will equip you to make informed decisions on capacity planning and process improvements, optimizing inventory levels, reducing lead times, and enhancing supply chain coordination.

Additionally, you'll learn to effectively manage variability, laying the groundwork for consistent and exceptional quality standards. Statistical analysis, problem-solving methodologies, and real-time information utilization will empower you to tackle issues, find root causes, and foster continuous improvement.

Throughout the course, the focus remains on driving improvements and achieving excellence. Analyze, improve, and reimagine how work gets done, armed with the necessary tools and frameworks to enhance work processes across diverse industries.

Join this course to analyze, improve, and reimagine how work gets done and to acquire the necessary tools and knowledge to make meaningful improvements in your organization's operations."
Creating a Workplace People Want to Be,Social Sciences,"Learn how to shape policies that reduce stigma, create support systems, and ensure leadership at all levels is equipped to have these conversations.
Learn how to shape policies that reduce stigma, create support systems, and ensure leadership at all levels is equipped to have these conversations.
Learn how to strengthen communication across teams and departments, manage change effectively, and resolve conflict to enhance collaboration.
Learn how to strengthen communication across teams and departments, manage change effectively, and resolve conflict to enhance collaboration.","Culture Transformation, Resilience, Communication, Organizational Leadership, Workplace Bullying Intervention, Strategic Leadership, Mental Health, Employee Engagement, Stress Management, Organizational Development, Leadership, Employee Performance Management, Occupational Safety And Health, Diversity Equity and Inclusion Initiatives","In this course, we’ll examine what defines effective leadership at the senior level, how leadership styles influence workplace culture, and how to foster trust, accountability, and engagement across the organization.We’ll take a good look at the business case for improving psychological health and safety and then look at the tools and strategies you can use to assess your organization and develop the strategies you need to enhance your overall workplace culture.

We’ll also explore the structural and cultural factors that shape employee well-being. Psychological safety, DEI, and harassment prevention will be discussed—not just as policies, but as leadership priorities that impact retention, morale, and performance.


Finally, we’ll explore stress, burnout, and workplace culture at the organizational level. You’ll learn how to identify what contributes to burnout—and how to adjust these factors to build a resilient, high-performing organization."
Applied Machine Learning in Python,Data Science,"Describe how machine learning is different than descriptive statistics
Describe how machine learning is different than descriptive statistics
Create and evaluate data clusters
Create and evaluate data clusters
Explain different approaches for creating predictive models
Explain different approaches for creating predictive models
Build features that meet analysis needs
Build features that meet analysis needs","Predictive Modeling, Python Programming, Regression Analysis, Applied Machine Learning, Scikit Learn (Machine Learning Library), Feature Engineering, Decision Tree Learning, Machine Learning, Random Forest Algorithm, Dimensionality Reduction, Unsupervised Learning, Supervised Learning","This course will introduce the learner to applied machine learning, focusing more on the techniques and methods than on the statistics behind these methods. The course will start with a discussion of how machine learning is different than descriptive statistics, and introduce the scikit learn toolkit through a tutorial. The issue of dimensionality of data will be discussed, and the task of clustering data, as well as evaluating those clusters, will be tackled. Supervised approaches for creating predictive models will be described, and learners will be able to apply the scikit learn predictive modelling methods while understanding process issues related to data generalizability (e.g. cross validation, overfitting). The course will end with a look at more advanced techniques, such as building ensembles, and practical limitations of predictive models. By the end of this course, students will be able to identify the difference between a supervised (classification) and unsupervised (clustering) technique, identify which technique they need to apply for a particular dataset and need, engineer features to meet that need, and write python code to carry out an analysis.This course should be taken after Introduction to Data Science in Python and Applied Plotting, Charting & Data Representation in Python and before Applied Text Mining in Python and Applied Social Analysis in Python."
